公司名稱,發電廠名稱,所在縣市,機組(座),裝置容量(瓩),商轉年度,類別
龍威風力發電股份有限公司,後龍二期風力發電廠,苗栗縣後龍鎮,2,"3,200",102,風力發電
龍威風力發電股份有限公司,後龍三期風力發電廠,苗栗縣後龍鎮,２,"4,600",105,風力發電
龍威風力發電股份有限公司,後龍四期風力發電廠,苗栗縣後龍鎮,２,"3,200",105,風力發電
龍威風力發電股份有限公司,後龍風力發電廠,苗栗縣後龍鎮,１,"2,300",105,風力發電
鹿威風力發電股份有限公司,彰濱風力發電廠,彰化縣彰濱工業區,21,"48,300",96、97、98,風力發電
鹿威風力發電股份有限公司,鹿港風力發電廠,彰化縣彰濱工業區,13,"29,900",96、97、98、107,風力發電
鹿威風力發電股份有限公司,彰濱及鹿港風力發電廠二期,彰化縣彰濱工業區,8,"18,400",98、100,風力發電
鹿威風力發電股份有限公司,彰化縣鹿港鎮設置第67號風力發電機,彰化縣彰濱工業區,1,"2,350",111,風力發電
觀威風力發電股份有限公司,觀音風力發電廠,桃園市觀音區,19,"43,700",99、101、102,風力發電
桃威風力發電股份有限公司,新屋風力發電廠,桃園市新屋區,2,"4,600",100,風力發電
崎威風力發電股份有限公司,竹南二期風力發電廠,苗栗縣竹南鎮,3,"6,900",100,風力發電
豐威風力發電股份有限公司,新豐風力發電廠,新竹縣新豐鄉,5,"11,500",101,風力發電
安威風力發電股份有限公司,臺中市大甲區風力發電廠,臺中市大甲區,1,"2,300",105,風力發電
安威風力發電股份有限公司,臺中市大甲區風力發電廠二期,臺中市大甲區,1,"2,300",107,風力發電
安威風力發電股份有限公司,臺中市大安區西部風力發電廠,臺中市大安區,1,"2,300",106,風力發電
安威風力發電股份有限公司,臺中市大安區海墘里風力發電廠,臺中市大安區,1,"2,300",106,風力發電
安威風力發電股份有限公司,臺中市清水區風力發電廠,臺中市清水區,1,"2,300",106,風力發電
清風風力發電股份有限公司,臺中市清水區風力發電廠,臺中市清水區,1,"2,300",105,風力發電
禾風風力發電股份有限公司,雲林縣麥寮鄉及台西鄉風力發電廠,雲林縣麥寮鄉,1,"2,300",107,風力發電
永能風力發電股份有限公司,「苗栗縣竹南鎮龍鳳里及海口里風力發電廠(第11A號機組)」及「苗栗縣竹南鎮海口北風力發電廠(第13B號機組)」,苗栗縣竹南鎮,2,"4,700",110,風力發電
凌威風力發電股份有限公司,「新北市林口區風力發電廠」第A04、A05-2號風機,新北市林口區,2,"4,700",110,風力發電
立為風力發電股份有限公司,彰化縣福興鄉芳苑鄉風力發電廠(第A-01、A-02、A-06、A-07、A-12、A-13、A-14),彰化縣福興鄉,7,"25,200",110,風力發電
